project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2007494,2105332,AZCAM01,,,,
2007494,2105341,AZCAM02,,,,
2007494,2105351,AZCAM03,,,,
2007494,2105355,AZCAM04,,,,
2007494,2105356,AZCAM05,,,,
2007494,2105357,AZCAM06,,,,
2007494,2105531,AZCAM07,,,,
2007494,2105623,AZCAM08,,,,
2007494,2105624,AZCAM09,,,,
2007494,2105625,AZCAM10,,,,
2007494,2105626,AZCAM11,,,,
2007494,2105629,AZCAM13,,,,
2007494,2105635,AZCAM14,,,,
2007494,2105675,AZCAM15,,,,
2007494,2105676,AZCAM16,,,,
2007494,2105795,AZCAM18,,,,
2007494,2105796,AZCAM19,,,,
2007494,2105805,AZCAM20,,,,
2007494,2105806,AZCAM21,,,,
2007494,2105807,AZCAM22,,,,
2007494,2105808,AZCAM24,,,,
2007494,2105809,AZCAM25,,,,
2007494,2105811,AZCAM26,,,,
2007494,2105812,AZCAM27,,,,
2007494,2105813,AZCAM28,,,,
2007494,2105814,AZCAM29,,,,
2007494,2105880,AZCAM30,,,,
2007494,2105895,AZCAM31,,,,
2007494,2105896,AZCAM32,,,,
2007494,2105899,AZCAM33,,,,
2007494,2105901,AZCAM34,,,,
2007494,2105904,AZCAM35,,,,
2007494,2105905,AZCAM36,,,,
2007494,2105906,AZCAM37,,,,
2007494,2105907,AZCAM38,,,,
2007494,2105910,AZCAM39,,,,
2007494,2105911,AZCAM40,,,,
2007494,2105912,AZCAM41,,,,
2007494,2105916,AZCAM42,,,,
2007494,2105922,AZCAM43,,,,
2007494,2105923,AZCAM44,,,,
2007494,2105968,AZCAM45,,,,
2007494,2105969,AZCAM46,,,,
2007494,2106014,AZCAM47,,,,
2007494,2106016,AZCAM48,,,,
2007494,2106017,AZCAM49,,,,
2007494,2106212,AZCAM51,,,,
2007494,2106218,AZCAM52,,,,
2007494,2106219,AZCAM53,,,,
